Site,Stream,y,x,Elevation
Lachua,Kixpur,15.867871,-90.630339,156
Lachua,Machacas,15.94848,-90.67544,168
Lachua,Caoba,15.94035,-90.67623,194
Sacmoc,Sacmoc-2,15.55561,-90.489019,404
Sacmoc,Sacmoc-1,15.55314,-90.48849,464
Amay,Amay1,15.45171,-90.75925,1409
Amay,Amay2,15.451536,-90.758946,1415
Huehuetenango,Sachil,15.2187,-91.39857,1601
Huehuetenango,Huehe-1,15.21812,-91.3998,1606
Huehuetenango,Xeteman,15.24502,-91.4024,1711
Totonicapan,Las Minas,14.933401,-91.327868,2720
Biotopo,Hapaj,15.21574,-90.22646,1755
Biotopo,Sendero-corto,15.21065,-90.21607,1826
Biotopo,Extra-punto,15.20865,-90.21608,1933
Biotopo,Musgos,15.20866,-90.22074,1942
Cahill,Mestela,15.36805,-90.35033,1436
