Streams,Agriogomphus,Alisotrichia,Ambrysus,Americabaetis,Amphipteryx,Anacroneuria,Anopheles,Anthicidae,Argia,Asioplax,Atherix,Atopsyche,Austrotinodes,Baetodes,Caenis,Camelobaetidius,Ceratopogonidae,Chaoborus ,Chimarra,Chironominae,Cora,Cordulegaster,Corydalus,Crenitulus,Cryphocricos,Culex,Cylloepus,Cyrnellus,Diplectrona,Dixidae,Dryopidae,Dystiscus,Dythemis,Elasmothemis,Empididae,Epeorus,Erpetogomphus,Erythemis,Fallceon,Farrodes,Gerridae_sp,Glossosoma,Gomphidae,Guajirolus,Gyretes,Hebrus,Helicopsyche,Hetaerina,Heteragrion,Heterelmis,Hexacylleopus,Isonychia,Leptohyphes,Leptonema,Maccaffertium,Macrelmis,Macronema,Mayobaetis,Miathyria,Microcylloepus,Moribaetis,Nehalennia,Neocylleopus,Neocylloepus,Neoelmis,Nothodixa,Ochrotrichia,Palaemnema,Perissolestes,Perithemis,Phanocerus,Phyllogomphoides,Polycentropus,Polyplectropus,Procryphocricos,Psephenus,Rhagovelia,Rhithrogena,Rhyacophila,Scirtidae,Simulium,Smicridea,Staphylinidae,Tabanidae,Tanypodinae,Thraulodes,Traverella,Trichoprosopon,Tricorythodes,Tropisternus,Ulmeritoides,Vacupernius,Wormaldia
Kixpur,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,5,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,22,29,0,0,2,5,0,0,12,0,0,0,0
Machacas,0,0,2,3,0,43,0,0,17,0,48,0,1,0,12,0,5,0,132,691,0,0,1,0,0,0,9,0,0,2,3,3,0,1,0,0,27,0,16,83,0,0,0,0,1,0,0,20,30,52,2,0,227,1,10,3,14,0,3,5,0,2,1,2,7,0,1,15,2,28,0,2,7,1,0,0,13,0,0,0,65,32,1,0,88,5,0,0,73,0,0,12,0
Caoba,2,0,0,7,0,63,1,0,32,0,22,0,0,0,14,0,7,1,32,303,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,11,5,53,118,0,0,0,0,1,0,0,18,38,57,20,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,1,1,0,49,0,6,7,6,0,8,4,0,0,2,29,4,2,0,103,13,1,0,50,0,1,0,0
Sacmoc2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0
Sacmoc1,0,0,0,9,0,19,0,0,5,0,0,0,0,0,1,0,1,0,1,171,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,20,45,0,10,0,0,0,0,1,7,2,20,1,0,1,20,0,4,0,0,0,3,0,0,0,0,4,0,0,14,1,6,44,0,0,1,2,36,1,0,0,2,22,16,0,0,12,3,0,0,34,0,0,0,1
Amay1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Amay2,0,0,1,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,11,0,0,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,8,11,0,0,1,1,0,0,2,0,0,0,0
Sachil,0,0,0,0,0,2,0,0,2,0,2,13,0,0,0,0,1,0,4,538,0,0,6,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,20,0,0,2,0,0,0,0,0,1,0,37,0,11,10,119,0,3,0,0,0,20,0,0,13,0,1,0,1,0,0,0,1,0,1,0,1,0,4,0,0,1,174,4,0,0,82,32,0,0,33,1,0,0,35
Huehe1,0,0,0,24,0,0,0,0,16,0,12,20,0,0,0,4,4,0,6,591,0,0,4,0,1,0,0,0,0,25,0,0,0,0,2,0,0,0,92,5,0,1,0,0,0,4,0,27,0,36,0,12,0,4,0,13,0,7,0,0,0,0,69,0,0,0,2,1,0,0,0,0,20,0,0,0,1,0,0,0,114,14,0,0,107,64,0,1,2,0,0,0,25
Xeteman,0,0,0,0,0,0,0,0,49,0,4,2,0,0,0,0,13,0,16,1230,0,0,1,1,5,0,0,0,0,10,0,0,0,0,1,0,2,0,22,1,0,1,0,1,0,2,2,4,0,17,0,4,0,25,0,5,0,0,0,14,0,0,17,0,1,2,18,0,0,0,0,0,14,0,0,0,1,0,0,0,92,97,0,2,137,7,0,0,9,0,0,0,37
